Date,Day,Number of pages,Pages scraped,Number of articles,Section,Titles by page,Number of titles scraped on this page
2001/01/01,星期一,8,1,50,要闻,"['为新世纪欢呼', '共同创造美好的新世纪', '北京个人所得税增二成五', '哈尔滨国际冰雪节有看头', '图片报道', '为祖国守岁', '世纪交接点上的思索', '世纪书怀', '北京地区天气预报', '北京新年音乐会展现经典魅力']",10
2001/01/01,星期一,8,2,50,要闻,"['迈进光辉灿烂的新世纪', '图片报道', '极地遥送爱国情', '西沙灯语映碧波', '湖北：篝火熊熊鸣编钟', '太原：万人长跑助申奥', '2000年国内十大新闻', '每逢佳节倍思廉', '图片报道']",9
2001/01/01,星期一,8,3,50,国际,"['世界政要寄语新世纪  把握机遇创美好未来', '喜迎新世纪第一缕曙光', '仍是沉重话题', '法塔赫一高官被以军打死', '老者如是说', '卡斯特罗会见傅全有', '海合会峰会结束', '图片报道', '柬埔寨国葬宋双', '俄确定国歌歌词', '美机侦察朝战略目标', '库福尔当选加纳总统', '巴基斯坦地方选举开始', '南同塞南部阿族武装达成协议', '鱼和熊掌难兼得']",15
2001/01/01,星期一,8,4,50,摄影,['满怀豪情迈入新世纪'],1
2001/01/01,星期一,8,5,50,广告,['广告'],1
2001/01/01,星期一,8,6,50,文件,"['全国人大常委会关于修改现役军官服役条例的决定', '中华人民共和国现役军官法']",2
2001/01/01,星期一,8,7,50,国际,"['拦海造田', '新世纪  故土情', '图片报道', '传统产业搭乘IT快车', '俄境内远东豹濒临灭绝', '治疗精神分裂症将有新药', '流星雨随新世纪来临', '蠕虫电脑病毒发作', '生活垃圾可制氢气', '世界天然气方兴未艾', '学生审议市预算']",11
2001/01/01,星期一,8,8,50,广告,['广告'],1
2001/01/02,星期二,12,1,126,要闻,"['全国政协举行新年茶话会', '新世纪新年音乐会精彩热烈', '元旦，藏族空姐上蓝天', '各地群众欢庆元旦', '北京地区天气预报', '图片报道', '在全国政协新年茶话会上的讲话']",7
2001/01/02,星期二,12,2,126,国内要闻,"['积极开展发明创造  尊重保护知识产权', '新世纪第一天', '金税工程在五省四市开通', '车辆购置税1月1日起开征', '开行五年将提供600亿贷款', '“苹果”缘何贱过“土豆”', '广东海关首创新模式  陆路通关仅需两分钟', '统一调度初见成效  黄河去年未曾断流', '南京地铁南北线工程获首笔贷款二十亿元', '宜柳高速公路通车  广西贫困山区受益', '劣米唤醒品牌意识  企业钟情大米商标', '山东打假动了真格  谁敢说情就地免职', '农业观光园滥建  经济效益好难求', '陵园讲解员要博士  人才高消费为哪般', '在全国政协新年茶话会上的讲话']",15
2001/01/02,星期二,12,3,126,国际,"['环球喜迎新世纪', '满怀信心应对挑战', '五彩缤纷哈瓦那', '欢歌劲舞向未来', '人潮灯海不夜天', '平和安祥度佳节', '呼吁开辟新世纪进军路', '阿拉法特愿尽快会晤克林顿', '摩宣布解散议会提前大选', '墨释放首批萨帕塔成员', '吉总统任命新政府成员', '四朝元老重出山']",12
2001/01/02,星期二,12,4,126,要闻,"['全国政协举行新年茶话会', '祝福新世纪  祝福祖国好', '在全国政协新年茶话会上的讲话', '江苏工会为困难职工送温暖', '图片报道', '我国民间外交好戏连台', '百米哈达献北京', '和田地毯赠澳门', '大投入铺就“民心路”', '元旦期间社会治安秩序良好', '精简会议和文件', '图片报道', '明天气象预报']",13
2001/01/02,星期二,12,5,126,国民经济,"['新年消费新意迭出', '“十五”将建铁路快速客运网', '风景名胜区亟需加强保护', '会计委派制度试点取得成效', '全国统计系统表彰先进', '500万吨特大矿井建成投产', '中行向华能国际电力提供100亿授信额度', '通用技术集团获70亿元授信额度', '玉林超高压变电站投入运行', '关税再降意味什么', '暴力抗法法不容', '打假成为技监工作一号工程', '图片报道', '澜沧江中下游电力开发成为新税源', '封丘县国税局征管考核力度大', '海港区地税局实行行业细化管理', '海王生物增发A股', '香河创建平安大道活动有成效', '江西农网改造物资招标有特色', '新型细胞分析仪通过国家鉴定', '北京高校创业股份有限公司成立', '江苏悦达与韩国现代正式联手']",22
2001/01/02,星期二,12,6,126,教育·科技·文化·体育,"['环南中国海自行车赛落幕澳门', '让中药走向世界', '“三下乡”变为“三扎根”', '织就农村“科普网”', '广场文化真红火', '围绕农民需求做文章', '图片报道', '曙光  圣火  新世纪', '曙光  圣火  新世纪', '图片报道', '草地畜牧业综合发展技术通过验收', '白马雪山自然保护区扩建', '数字城市技术跨入互联时代', '华人名人诗文书画展举行预选展', '武术散打王终有归属', '北京举行纪念顾拜旦诞辰报告会', '庆元旦  助申奥  登长城', '叶江川一人战千人', '宁夏分类治理限期达标  山西强制关停超标企业']",19
2001/01/02,星期二,12,7,126,国际,"['上网参观“博览会”', '告别预算赤字', '伦敦千年大厦正式关闭', '全球电子邮件日均14亿', '南非实施禁止吸烟法', '德呼吁国际社会战胜贫困', '日本百岁老人逐年增多', '菲律宾发生6.6级地震', '图片报道', '康复身心  重返社会', '埃及迈向信息路', '即将面世的欧元钞票和硬币']",12
2001/01/02,星期二,12,8,126,专版,"['冰雪，给黑龙江带来了什么？', '“龙江冰雪甲天下”']",2
2001/01/02,星期二,12,9,126,理论,"['百年前的世界与中国', '敢于和善于突破难点', '城市建设的新理念', '为何要把增加农民收入摆在突出位置', '新世纪新在哪里']",5
2001/01/02,星期二,12,10,126,企业形象展示,['鲤鱼跳龙门'],1
2001/01/02,星期二,12,11,126,社会观察,"['迟到的结果', '心系读者  关注社会', '谨防“歪参谋”', '福建武平县  取缔300家地下爆竹生产作坊', '他们为何不负债？', '单位装修工程问题多', '办家庭影院  月盈利千元', '省下彩礼钱  办个幼儿园', '天寒人心暖  捐衣又捐被']",9
2001/01/02,星期二,12,12,126,大地·文化纵横,"['世纪的告别', '跨世纪的中国戏剧', '放眼新世纪', '握别二十世纪！', '探望新花枝', '脚踏实地', '芬芳誓言', '希望', '少浮躁  多创作']",9
2001/01/03,星期三,12,1,115,要闻,"['把思想统一到中央的重大决策上来', '认清形势  坚定信心', '东方巨龙  屹立世界', '图片报道', '云南西电东送步伐加快', '四川重点建设进展良好', '我的心愿会实现', '还有几个“最后”？', '北京地区天气预报']",9
2001/01/03,星期三,12,2,115,国内要闻,"['各地去年财政税收大幅攀升', '开行不良资产下降三分之二', '民心工程列北京首要日程', '四川育出作物新种171个', '环洪泽湖农业工程启动', '江苏出台打假新法规', '五省市打假专项执法', '为大熊猫查“户口”', '一个钱柜“管”住42家省属机关', '贵在对症下药', '涿州新华书店引进超市', '国图文津分馆重新开馆', '药品包装出新规  安全吃药有保障', '医院收费项目锐减  三万调整至四千种', '议价医院亮相武汉  择价而医成为现实', '垃圾处理有新招  高新技术治公害']",16
2001/01/03,星期三,12,3,115,国际,"['图片报道', '祝祖国早日统一', '15名“法轮功”分子非法集会  涉嫌妨碍公务悉数被送上法庭', '美国克隆最优树种', '印尼开始实施地方自治法', '德首批女兵加入作战部队', '荷兰舞厅火灾死亡8人', '瑞士去年发现33例疯牛病', '企盼明天更美好', '几家欢乐几家愁', '世纪之交选出新总统', '阿拉法特赴美会晤克林顿', '东方巨龙  屹立世界']",13
2001/01/03,星期三,12,4,115,要闻,"['天山南北铸忠诚', '民族地区经济发展事业兴旺', '县区司法局要为农村提供优质法律服务', '与新世纪同行', '图片报道', '书记探望三峡移民', '新世纪上班第一天', '金昭典同志逝世', '五百马祖香客赴湄洲岛进香', '青海安排灾民过好年', '“德力西杯”新闻摄影比赛揭晓', '明天气象预报']",12
2001/01/03,星期三,12,5,115,国民经济,"['养猪不能乱加药', '大力推进和扶持农业产业化经营', '了不起的一万亿']",3
2001/01/03,星期三,12,6,115,政治·法律·社会,"['从“伯乐相马”到“赛场选马”', '琴声悠悠唤统一', '警民喜迎新世纪', '认真处理涉军纠纷和案件', '北京检察机关重拳出击职务犯罪', '图片报道', '“新官被烧三把火”', '香港现有少数族裔人士约二十八万', '山东法院常与人大代表沟通', '商洛检察机关诚待群众来访', '包头一举打掉三个犯罪团伙', '首届全国人才网络招聘会启动', '第六届五四新闻奖评选揭晓', '二炮建成百名导弹技术专家队伍', '上海民营企业拥军送温暖', '三河对学生交通违章实施记分管理', '聊城公安消防支队狠抓消防安全', '武警交通指挥部为基层办实事', '江苏监狱劳教系统实现“零指标”', '我家的防空地下室']",20
2001/01/03,星期三,12,7,115,国际,"['图片报道', '上网火了加拿大', '从“理论货币”到“实际货币”', '经济喜中有忧', '海龟的节日', '相机王国话哈苏']",6
2001/01/03,星期三,12,8,115,体育,"['童心同心盼奥运', '二○○○年  中国体育英雄榜', '一动一静  网上各话黑白世界', '冰雪江城冬泳热', '女子围棋名人战决出四强', '奖励奥运功臣', '宗永生淘汰于幼华', '纪念梅里雪山勇士遇难10周年活动举行', '体操明星助申奥', '甲A球员考试忙', '长沙新世纪体育文化中心动工', '天津市民冬泳迈入新世纪', '冰情雪情迎新春']",13
2001/01/03,星期三,12,9,115,民主和法制周刊,"['新年寄语', '谁之过', '点滴抓起创满意', '应完善代表对选民负责制', '“代表职责，会完未了”', '县级人大常委会视察“两宜两不宜”', '代表视察工作要做到“三不可”', '新年新曲', '用新眼光解决新问题']",9
2001/01/03,星期三,12,10,115,民主和法制周刊,"['村民·镇长  百年银杏之争', '法律  最好的调节器', '不是官大  而是法大', '图片报道']",4
2001/01/03,星期三,12,11,115,广告,['广告'],1
2001/01/03,星期三,12,12,115,民主和法制周刊,"['敢于碰硬  匡扶正义', '营造公正执法的良好环境', '公正为民  不辱使命', '从挪用公款案看国企资金管理漏洞', '公正执法  关键在人', '让百姓信得过', '图片报道', '图片报道', '图片报道']",9
